id,sku,short_description,price,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,stock_item_qty,stock_item_max_sale_qty,product_name,brand_id,brand_name
152047531,2851455353495,"Dây buộc giầy bản dẹt có đủ các màu sắc đen, xám đậm, xám, xám nhạt, trắng, trắng ngà, nâu, nâu sáng, be đậm, be, be nhạt, xanh than, vàng cháy, vàng, vàng nhạt, xanh blue, xanh dương đậm, xanh dương,...",27000,27000,,0,0,0,,available,,1000,1000,,111461,OEM
115787485,2317467857324,       Dép chiếu coi đi trong nhà phẩm sản phẩm làm từ nguyên liệu tự nhiên   Quai làm bằng vải nhung mang êm chân và tạo sự sang trọng nâng vẽ đẹp củ đôi chân người mang   - Sản phẩm mang trong...,45000,45000,,0,0,19,,available,,1000,1000,,111461,OEM
180380358,2192998787259,"  Quy cách: 1 cặp = 4 miếng (2 lót mũi + 2 lót gót), dùng cho 1 đôi giày   - Lót gót có thể cắt bớt phần để phù hợp với size giày   - Kích thước miếng lót gót: 11.5 cm (D) x 8 (R) cm, Dày 1.0cm Fre...",45030,79000,,33970,43,6,,available,,1000,1000,,111461,OEM
259548687,3041098945697,"  DÉP SANDAL QUAI HẬU NỮ ĐI MƯA CHẤT LIỆU CAO SU CHỐNG TRƠN TRƯỢT.   Dép cho mẹ siêu bền nhẹ êm đi mưa thoải mái,   Chất liệu dép da cao cấp, siêu nhẹ, siêu bền, thoải mái khi đi.   Quai ngang chắ...",59000,59000,,0,0,1,,available,,1000,1000,,111461,OEM
57641472,9285320611049,"MIẾNG LÓT GIÀY TĂNG CHIỀU CAO 4D Chất liệu:- Lót giày tăng chiều cao có phần đế bằng chất liệu mút EVA cao cấp, có khả năng đàn hồi chậm hấp thu xung lực tạo cảm giác êm chân- Lớp giữa lót giày bằ...",49000,49000,,0,0,33,,available,,1000,1000,,222433,Pettino
242719270,2786167860470,"       [4D hoạt hình 2] Nút gắn hkdesign/ phụ kiện trang trí gắn dép có lỗ, dép duet, sục LOẠI TO NHỰA (01 Cái)   *** Giá sản phẩm: áp dụng cho 01 cái.   ***Kích thước sản phẩm:   - Từ 5cm ->...",16000,16000,,0,0,2,,available,,1000,1000,,111461,OEM
164542541,5493368953206,"       Lót giầy hương quế nhãn hàng Anh Quân ########   Hàng thương hiệu ,uy tín ,chất lượng tốt ,mùi quế dễ chịu size từ 36 đến 43 cho các cỡ giày   Miếng lót giầy quế là dòng sản phẩm có chất ...",15000,15000,,0,0,0,,available,,1000,1000,,111461,OEM
241777889,4540740920072,---Bảng size giày:Size 35: 22cm-22.4cmSize 36 : 22.5cm-22.9cmSize 37 : 23cm-23.4cmSize 38 : 23.5cm - 23.9cmSize 39 : 24cm - 24.4cmKhách hàng đo chân chính xác để chọn size giày phù hợp nhé!***L...,175000,175000,,0,0,0,,available,,1000,1000,,111461,OEM
262022715,2261966911354,"Giày sneakers nữ Skechers Arch Fit - 149722-GYMTĐặc điểm nổi bật: GIÀY NỮ SKECHERS ARCH FITBước ra ngoài với sự thoải mái, mát mẻ khi mang Skechers Arch Fit. Kiểu buộc dây này có phần trên bằng lưới ...",1614000,2690000,,1076000,40,0,,available,,1000,1000,,204735,Skechers
197966679,4410534203687,"Đôi giày không chỉ giúp đôi chân bạn tránh khỏi những tổn thương, giữ cho đôi chân sạch sẽ mà còn tạo ra phong cách thời trang cho bạn. Đặc biệt giày cao gót là một trong những “phụ kiện thời trang” ...",21000,26000,,5000,19,5,,available,,1000,1000,,496813,buybox
163035058,7473105755573,"Dép Đi Trong Nhà, Văn Phòng, Xốp Lỗ Siêu Nhẹ Siêu Rẻ, Chống Trơn Trượt - Hàng Loại 1 - Giao Màu Ngẫu NhiênChất liệu: Dép xốp được làm từ nhựa CAO CẤP siêu bềnThiết kế siêu nhẹ, ko thấm nước.Trọng lư...",40500,45000,,4500,10,10,,available,,1000,1000,,5132069,MINIIN
214937763,5246537547928,"Chai Xịt Khử Mùi Hôi Giày và Tất, Công Nghệ Nano Bạc 260ML Khử mùi diệt vi khuẩn Chống Hôi Chân hiệu quả Kèm khăn lau TiMa.lala- Dung tích : 260ml và 360ml- Hạn sử dụng 3 năm từ ngày sản xuất- Sử d...",59000,59000,,0,0,2,,available,,1000,1000,,4539407,TiMa.lala
271782188,3026913134366,1. Thông Tin Giày Sandal Nữ PCWFWS231Giày sandal nữ đế cao có thiết kế đơn giản với hai quai ngang ôm lấy bàn chân tạo cảm giác giữ chặt chân khi mang. Giày sandal có quai dán dễ dàng thoát mở khi ma...,1311200,1490000,,178800,12,0,,available,,1000,1000,,49369,Pierre Cardin
41805495,8665850550116,Thông tin chi tiết Giày thể thao nữ - giày sneaker nữ mầu trắng đế cao ST008W- Màu trắng luôn là tone màu được các bạn trẻ tìm kiếm và là tone màu được ưa chuộng nhất mọi thời đại. Nắm bắt được xu hư...,175000,250000,,75000,30,112,,available,,1000,1000,,111461,OEM
143829211,6080441124724,Giày cao gót nữ đế vuông 4 phân hàng hiệu rosata đẹp màu đen ro364------------------------------------------------Mô tả chi tiết:- Thương hiệu: rosata- Mã sản phẩm: ro364- Kiểu dáng: Giày cao gót...,399000,399000,,0,0,9,,available,,1000,1000,,160209,Rosata
186884426,1840365538399,"       THÔNG TIN SẢN PHẨM: Dép vải mang đi trong nhà vệ sinh, phòng tắm, văn phòng, biển, spa, khách sạn, mùa đông đế cao su dày chống trơn CR   - Chất liệu: Vải thô bố, đế nhựa -   Màu sắc: Đỏ,...",45000,45000,,0,0,0,,available,,1000,1000,,111461,OEM
125098597,3154668301992,"Giày nữ không dây thoáng mát, giảm ra mồ hôi chân. Mềm mại, siêu bền phù hợp chơi thể thao, vận động nhiều.- Độ bền và độ mài mòn đạt tiêu chuẩn châu âu CE. Đặc biệt, giày Anh Khoa là giày thế hệ mới...",149000,149000,,0,0,18,,available,,1000,1000,,111461,OEM
13629812,1845324719882,"- Miếng mút lót mũi giày êm chân là giải pháp hữu hiệu cho các nàng đi giày cao gót bị chật, bị rộng, gây đau chân, nhức chân…- Miếng mút lót mũi giày có tác dụng giảm ma sát của bàn chân trước, nơi c...",25000,25000,,0,0,8,,available,,1000,1000,,111461,OEM
225933557,4084180325949,"       TÊN SẢN PHẨM : Dép lông 2 quai đi trong nhà phong cách Hàn Quốc   THÔNG TIN SẢN PHẨM :   - Đế dép : cao su   - Quai dép : chất liệu lông nhân tạo mềm mượt, 2 quai   - Màu sắc : Trắng ke...",121000,121000,,0,0,3,,available,,1000,1000,,111461,OEM
115715843,2639932811775,"       Đôi dép quai ngang nữ hot nhất 2020. Được thiết kế đơn giản, nhẹ nhàng trẻ trung.   Đế giày được thiết kế bằng chất liệu nhựa dẻo cao cấp nâng niu đôi chân. Và chống trơn trượt rất tốt   ...",79000,79000,,0,0,10,,available,,1000,1000,,111461,OEM
247990179,4520272145705,Thương hiệu thời trang ALDO là hãng thời trang Canada chuyên mang đến những thiết kế sang trọng và tinh tế về phụ kiện giầy dép và túi xách. ALDO được phân phối độc quyền tại Việt Nam bởi Công ty cổ p...,705000,2350000,,1645000,70,0,,available,,1000,1000,,592931,Aldo
75993779,4464662451956,"Da PU cao cấp lót nỉ bên trong rất êm và thoải mái khi mangĐế cao 6-7cmPhom dáng ôm chân thon gọnCó dây kéo 2 bên dễ dàng sử dụngPhong cách hơi hướng retro cổ điển mà vẫn cá tính, năng độngPhù h...",281000,299000,,18000,6,14,,available,,1000,1000,,111461,OEM
248977575,7387022870968,"       Giày Vải Nam Nữ Vải Canvas Cổ Cao Và Cổ Thấp Màu Đen,Giày Vải Học Sinh Sinh Viên GV01   _THÔNG SỐ SẢN PHẨM GIÀY VẢI NAM NỮ CỔ THẤP VÀ CỔ CAO   _Màu sắc: màu đen   _Chất liệu: vải   _Siz...",135000,135000,,0,0,0,,available,,1000,1000,,111461,OEM
117684998,6161435018216,"       Sử dụng giày rộng quá khổ khi di chuyển dễ bị nhấc gót và khiến bạn ngã nhào. Chẳng những thế, việc bị nhấc khiến gót chân cọ xát nhiều lần vào gót giày dẫn tới tình trạng trầy xước, đau rá...",29500,59000,,29500,50,13,,available,,1000,1000,,111461,OEM
100969616,9328761277142,"       *) THÔNG TIN SẢN PHẨM   • ✦ Bốt nữ cao cổ dáng cực ôm chân hàng đẹp   • ✧ Màu đen như hình   • ★ Size từ 35 - 39 - Chất da lộn cực hót   • ✧ Chất liệu đế: Đế cao su TPR cao cấp, đảm bảo...",452200,696000,,243800,35,0,,available,,1000,1000,,111461,OEM
196672471,6251919075783,"BẢNG ĐO TỪNG SIZESize 36/37: 23.5cmSize 38/39: 24.5cmSize 40/41: 25.5cmSize 42/43: 26.5cmSize 44/45: 27.5cm____________________________________MÔ TẢ SẢN PHẨM- Đế cao su mềm, dẻo, đi êm chân, t...",159000,159000,,0,0,4,,available,,1000,1000,,741017,NineRed
